name,id
Babak Esfandiari,_QJIp3cAAAAJ
Michael Weiss,0SY1aN4AAAAJ
Leila Mostaço-Guidolin,3y7q_scAAAAJ
Chris Joslin,6_vcXMIAAAAJ
John Chinneck,6cOzh_AAAAAJ
Ioannis Lambadaris,B2Irh-EAAAAJ
Andy Adler,bO8me80AAAAJ
Howard Schwartz,bRJSt-UAAAAJ
Halim Yanikomeroglu,C2iee4YAAAAJ
Greg Franks,dcdDfNQAAAAJ
Samuel A Ajila,egWTJwMAAAAJ
Gabriel Wainer,eydj1p0AAAAJ
Mojtaba Ahmadi,F43JvKkAAAAJ
Rafik Goubran,Giy-AmwAAAAJ
Thomas Kunz,hpoHOqYAAAAJ
Mostafa Taha,iM8ssiUAAAAJ
Ashraf Matrawy,jqhLkgkAAAAJ
Shikharesh Majumdar,Jtd9L_4AAAAJ
Murray Woodside,k6wztTgAAAAJ
Paulo Garcia,kmZmwRQAAAAJ
Sreeraman Rajan,L0E4foIAAAAJ
Adrian D. C. Chan,n3LVmO8AAAAJ
James R Green,nmxbwm4AAAAJ
Dorina Petriu,O-qcADgAAAAJ
Ali Arya,Per9R0UAAAAJ
Marc St-Hilaire,PH5YlZoAAAAJ
Peter X. Liu,PUT-52IAAAAJ
Amir Banihashemi,qMWHTJgAAAAJ
Ramy H. Gohary,rmZDQeAAAAAJ
Mohamed Ibnkahla,ryfKzl4AAAAJ
Richard Dansereau,RyOFutYAAAAJ
Jason Jaskolka,Snka5HcAAAAJ
Changcheng Huang,T6kOk1MAAAAJ
Mohamed M Atia,tD85Rk0AAAAJ
Roshdy H. M. Hafez,v207AiMAAAAJ
Cristina Ruiz-Martin,wQ0TKWwAAAAJ
Marzieh Amini,wTEyJYwAAAAJ
Chung-Horng Lung,WZZOdG4AAAAJ
Ian Marsland,x4HW3PMAAAAJ
Wei Shi,XTo3frcAAAAJ
Yvan Labiche,YaZpm7h6qnwC
Yuu Ono,zkukRoIAAAAJ
F. Richard Yu,zuGMGBoAAAAJ
